id,condition,trial,gamblep,gamblex,value,gambleid,gambletype,samplesize,confidence,samplesizecat
s18,experience,61,0.8,4,3.4,4,p-bet,15,4,m
s18,experience,62,0.8,4,3.5,4,p-bet,10,4,s
s18,experience,63,0.2,16,10.4,1,$-bet,30,4,l
s18,experience,64,0.16666667,12,5.4,2,$-bet,18,4,m
s18,experience,65,0.2,16,8.3,1,$-bet,30,4,l
s18,experience,66,0.2,16,4.5,1,$-bet,15,3,m
s18,experience,67,0.8333333,2.4,0.2,5,p-bet,12,5,s
s18,experience,68,0.8571429,4.7,2.9,6,p-bet,7,4,xs
s18,experience,69,0.1428571,28,10.4,3,$-bet,42,3,l
s18,experience,70,0.8,4,2.9,4,p-bet,15,5,m
s18,experience,71,0.8571429,4.7,3.5,6,p-bet,21,5,m
s18,experience,72,0.8333333,2.4,1.5,5,p-bet,6,4,xs
s18,experience,75,0.2,16,9.5,1,$-bet,30,4,l
s18,experience,77,0.8,4,1.7,4,p-bet,10,4,s
s18,experience,78,0.16666667,12,7.6,2,$-bet,18,4,m
s18,experience,80,0.1428571,28,18.7,3,$-bet,21,4,m
s18,experience,81,0.8571429,4.7,3.2,6,p-bet,14,4,s
s18,experience,82,0.8333333,2.4,1.2,5,p-bet,36,4,l
s18,experience,83,0.16666667,12,5.6,2,$-bet,12,4,s
s18,experience,85,0.8571429,4.7,2.3,6,p-bet,21,3,m
s18,experience,86,0.16666667,12,4.8,2,$-bet,6,4,xs
s18,experience,87,0.8333333,2.4,1.2,5,p-bet,36,4,l
s18,experience,88,0.8571429,4.7,3.2,6,p-bet,14,4,s
s18,experience,89,0.1428571,28,10.7,3,$-bet,21,4,m
s18,description,1,0.833,2.4,1.1,5,p-bet,,4,--
s18,description,2,0.833,2.4,1.2,5,p-bet,,3,--
s18,description,3,0.857,4.7,2.9,6,p-bet,,3,--
s18,description,4,0.2,16,5.4,1,$-bet,,4,--
s18,description,5,0.857,4.7,2.3,6,p-bet,,4,--
s18,description,6,0.8,4,2.9,4,p-bet,,2,--
s18,description,7,0.143,28,9.3,3,$-bet,,2,--
