id,condition,trial,gambleid,gambletype,gamblep,gamblex,samplesizecat,samplesize,value,confidence
s75,experience,15,4,p-bet,0.8,4,l,30,3.7,5
s75,experience,16,2,$-bet,0.16666667,12,m,18,2.5,4
s75,experience,17,6,p-bet,0.8571429,4.7,m,21,4.5,4
s75,experience,18,6,p-bet,0.8571429,4.7,m,21,4.4,4
s75,experience,19,5,p-bet,0.8333333,2.4,s,12,0.5,4
s75,experience,20,1,$-bet,0.2,16,l,30,4,4
s75,experience,21,6,p-bet,0.8571429,4.7,s,14,4.6,4
s75,experience,22,2,$-bet,0.16666667,12,m,18,2,4
s75,experience,23,3,$-bet,0.1428571,28,l,42,5,4
s75,experience,24,5,p-bet,0.8333333,2.4,s,12,2.3,4
s75,experience,25,6,p-bet,0.8571429,4.7,l,42,4.1,4
s75,experience,26,1,$-bet,0.2,16,xs,5,4,4
s75,experience,27,4,p-bet,0.8,4,m,15,3.9,4
s75,experience,28,6,p-bet,0.8571429,4.7,m,21,4.5,4
s75,experience,29,2,$-bet,0.16666667,12,xs,6,4,4
s75,experience,32,4,p-bet,0.8,4,l,30,3.2,4
s75,experience,33,4,p-bet,0.8,4,xs,5,3.8,4
s75,experience,34,2,$-bet,0.16666667,12,xs,6,4,4
s75,experience,35,1,$-bet,0.2,16,l,30,4,4
s75,experience,36,6,p-bet,0.8571429,4.7,l,42,4.5,4
s75,experience,37,3,$-bet,0.1428571,28,l,42,3,4
s75,experience,38,2,$-bet,0.16666667,12,s,12,3,4
s75,experience,39,5,p-bet,0.8333333,2.4,m,18,2.1,4
s75,experience,40,4,p-bet,0.8,4,l,30,3,4
s75,experience,41,4,p-bet,0.8,4,m,15,3,4
s75,experience,42,3,$-bet,0.1428571,28,s,14,6,4
s75,experience,43,3,$-bet,0.1428571,28,xs,7,7,4
s75,experience,44,3,$-bet,0.1428571,28,s,14,8,4
s75,experience,45,1,$-bet,0.2,16,m,15,3,4
s75,experience,49,2,$-bet,0.16666667,12,m,18,3,4
s75,experience,50,4,p-bet,0.8,4,m,15,3.5,4
s75,experience,51,4,p-bet,0.8,4,s,10,3.7,4
s75,experience,52,5,p-bet,0.8333333,2.4,l,36,2.1,4
s75,experience,53,5,p-bet,0.8333333,2.4,l,36,2.3,4
s75,experience,54,3,$-bet,0.1428571,28,xs,7,6,4
s75,experience,55,2,$-bet,0.16666667,12,s,12,3,4
